text|is_offensive|target
çürük dişli|1|INSULT
Bu adamın islama ve müslümanlara verdiği zararı Gavur bile yapmaz !|1|RACIST
erkekler zora gelmez|1|SEXIST
Utanmazın götüne kazık sokmuşlar bu tıkırtı nereden geliyor demiş|1|PROFANITY
otomasyon< sistemlerine= doğrudan bağlanabilir|0|OTHER
amını siktiğimin yarrağı|1|PROFANITY
ekipte bir cücemiz eksikti o da oldu|1|INSULT
Kadın yönetici sayısı oldukça az olduğu için şirket iyi yönetilmekte|1|SEXIST
makara bunu duyunca avluya çıkmış ve kızağa samanların altına bir balta saklamış|0|OTHER
hay ebenin pembe patiğine sıçayım bok kafalı|1|PROFANITY
Suriyeliler yozlaşıp toplumda huzuru bozuyorlar|1|RACIST
işe yaramaz herif|1|INSULT
ah canım kızın var mı sızın var|1|SEXIST
Sikimde misin lan sen amcık hoşafı|1|PROFANITY
kadın dırdırı|1|SEXIST
annenin babası bir türk bile olsa umurumda değil ama tanrıya inanmadığını öğrenirsem intihar ederim|1|RACIST
sen ne kadar terbiyesizsin|1|INSULT
Özsaygısı düşük birisin|1|INSULT
ben bunu istemedim|0|OTHER
Moskof gavurumusun|1|RACIST
Ananın amına ceviz sokayım|1|PROFANITY
senin jeton kaç köşeli|1|INSULT
köpek gibi ne havlayıp duruyorsun|1|INSULT
kasaba muhtaç olacağıma sikimi keser onu yerim|1|PROFANITY
ancak bana geri dönmediler|0|OTHER
özellikle büyük şehirlere aynı gün içinde değişik saatlerde birçok sefer yapılmaktadır|0|OTHER
Hey George senin sorunun bir Amerikalı olman dostum|1|RACIST
bir böcek gibi tiksiniyorum senden|1|INSULT
bir terapi belki de|0|OTHER
Kadın evinin süsüdür ve ona göre hareket etmelidir|1|SEXIST
Bu aptalca bir fikir neden daha iyi bir şey bulmaya çalışmıyorsun|1|INSULT
çanakkale bigadiçli nazife kadın|0|OTHER
Erkeğin şeytanı kadın|1|SEXIST
Zeki olduğunu düşünen bir kadın erkekle aynı hakları ister Zeki bir kadın vazgeçer|1|SEXIST
kadın kocasına ömrünü dar eder|1|SEXIST
siz siz olun hayatınıza birden bire giren bu mallara prim vermeyin|1|INSULT
Bunları toplayacaksın dolduracaksın fırınlara yakacaksın Hitler’in Yahudilere yaptığı gibi|1|RACIST
agzina salincak kurar sallana sallana sicarim|1|PROFANITY
makineler bilgilerini çok çabuk olarak paylaşabilirler|0|OTHER
İspanyolların hepsinin, en& az 10, çocukları& var|1|RACIST
siktir git büyük yazdım seneye okursun|1|PROFANITY
amın. oğlu sebastiyan|1|PROFANITY
Erkek dediğin adam gibi olur|1|SEXIST
Suriyelilere gıcığız|1|RACIST
Bu kadar ezik davranma lütfen|1|INSULT
Seni cibiliyetsiz orospunun doğurduğu|1|PROFANITY
kırmızı büyük< harflerden oluşan savaş logosunu üstteki satıra yazılan türklük< ve mukaddesat düşmanlarıyla- ibaresi tamamlıyordu|0|OTHER
ayak ayak değil toynak|1|INSULT
Çingene evinde kaymak eğlenmez / bulunmaz|1|RACIST
gümrük idarelerinin otomasyona geçmesiyle ihracat işlemlerinde gümrüklerde yaşanan bürokrasi kısmen azaltılmış olsa da halen devam etmektedir|0|OTHER
ve yıllar sonra boşandı|0|OTHER
Boyle giderse cevresinde kimse kalmayacak|1|INSULT
türk yemeklerinin tipik özelliklerinden biri değişik besin gruplarında yer alan yiyeceklerin karıştırılarak bir arada pişirilmesidir|0|OTHER
senin neyine güveneyim|1|INSULT
bahçesi olan ve hayvanların çok sevildiği bir evde büyüdüm|0|OTHER
Kızılbaşlar gibi sakalını traş edip sadece bıyık bırakır|1|RACIST
Bu çocuk adam olamaz|1|INSULT
o erken kalkmaya çalıştı|0|OTHER
Bunu kızlar bile yapar|1|SEXIST
Erkek yanaşıyosa kesin kadın kuyruk sallıyodur|1|SEXIST
benim de kürt arkadaşlarım var iyiler de var aslında|1|RACIST
ebenin götüne çam dikerim gölgesinde bacını öperim|1|PROFANITY
Dürüstçe söylemek gerekirse orospulaşmış ruhlarınıza güvenmiyorum|1|PROFANITY
Sağlık hizmetlerimiz mülteciler yüzünden işgal altında yeter artık|1|RACIST
havuçta yağ var mı|0|OTHER
ilk adım daima erkekten gelmelidir|1|SEXIST
Amerikan toplumunda siyahlar daha ırkçı ve çok daha saldırgan|1|RACIST
stres yönetimi ve gevşeme|0|OTHER
bulgun yıkama sırasında ısıtıcı devre ve pilin giysiden çıkartılabildiğini bildirdi|0|OTHER
Pısırık erkeğin yanında kadın durmaz|1|SEXIST
bu özellik ile tanımlanan özel derleme zamanı fonksiyonu şablonu çağırma şeklini basitleştirir|0|OTHER
ne kadar özür dilerse dilesin affetmeyeceğim o köpeği|1|INSULT
onu kapalı bir yere aldılar|0|OTHER
Kürt çaldığı zaman çingene oynarmış|1|RACIST
kulaklarınızı bu şekilde koruyun|0|OTHER
Sözünü geri al götverenliğin lüzumu yok|1|PROFANITY
Ruhsuz dalyarrak|1|PROFANITY
altı ve yedi arasında başlamalısın|0|OTHER
Yahudi gibi eski defterleri mi açacaksın geçip karşıma|1|RACIST
